Source.Name	Characteristics.individual.	Characteristics.organism.part.	Characteristics.developmental.stage.	Characteristics.treatment.
E6.15.1473	E6.15.1473	E6.15	embryo	embryonic day 6	No
E6.15.1474	E6.15.1474	E6.15	embryo	embryonic day 6	No
E6.15.1475	E6.15.1475	E6.15	embryo	embryonic day 6	No
E6.15.1476	E6.15.1476	E6.15	embryo	embryonic day 6	No
E6.15.1477	E6.15.1477	E6.15	embryo	embryonic day 6	No
E6.15.1478	E6.15.1478	E6.15	embryo	embryonic day 6	No
E6.15.1479	E6.15.1479	E6.15	embryo	embryonic day 6	No
E6.15.1481	E6.15.1481	E6.15	embryo	embryonic day 6	No
E6.16.1493	E6.16.1493	E6.16	embryo	embryonic day 6	No
E6.16.1494	E6.16.1494	E6.16	embryo	embryonic day 6	No
E6.16.1495	E6.16.1495	E6.16	embryo	embryonic day 6	No
E6.16.1496	E6.16.1496	E6.16	embryo	embryonic day 6	No
E6.16.1497	E6.16.1497	E6.16	embryo	embryonic day 6	No
E6.16.1498	E6.16.1498	E6.16	embryo	embryonic day 6	No
E6.16.1499	E6.16.1499	E6.16	embryo	embryonic day 6	No
E6.16.1500	E6.16.1500	E6.16	embryo	embryonic day 6	No
E6.16.1501	E6.16.1501	E6.16	embryo	embryonic day 6	No
E6.16.1503	E6.16.1503	E6.16	embryo	embryonic day 6	No
E6.16.1504	E6.16.1504	E6.16	embryo	embryonic day 6	No
E6.16.1505	E6.16.1505	E6.16	embryo	embryonic day 6	No
E6.17.1570	E6.17.1570	E6.17	embryo	embryonic day 6	No
E6.17.1571	E6.17.1571	E6.17	embryo	embryonic day 6	No
E6.17.1572	E6.17.1572	E6.17	embryo	embryonic day 6	No
E6.17.1573	E6.17.1573	E6.17	embryo	embryonic day 6	No
E6.17.1574	E6.17.1574	E6.17	embryo	embryonic day 6	No
E6.17.1575	E6.17.1575	E6.17	embryo	embryonic day 6	No
E6.17.1576	E6.17.1576	E6.17	embryo	embryonic day 6	No
E6.17.1578	E6.17.1578	E6.17	embryo	embryonic day 6	No
E6.17.1579	E6.17.1579	E6.17	embryo	embryonic day 6	No
E6.17.1581	E6.17.1581	E6.17	embryo	embryonic day 6	No
E6.17.1582	E6.17.1582	E6.17	embryo	embryonic day 6	No
E6.17.1583	E6.17.1583	E6.17	embryo	embryonic day 6	No
E6.17.1584	E6.17.1584	E6.17	embryo	embryonic day 6	No
E6.17.1585	E6.17.1585	E6.17	embryo	embryonic day 6	No
E6.17.1586	E6.17.1586	E6.17	embryo	embryonic day 6	No
E6.17.1587	E6.17.1587	E6.17	embryo	embryonic day 6	No
E6.17.1588	E6.17.1588	E6.17	embryo	embryonic day 6	No
E6.17.1589	E6.17.1589	E6.17	embryo	embryonic day 6	No
E6.17.1590	E6.17.1590	E6.17	embryo	embryonic day 6	No
E6.17.1591	E6.17.1591	E6.17	embryo	embryonic day 6	No
E6.17.1592	E6.17.1592	E6.17	embryo	embryonic day 6	No
E6.17.1593	E6.17.1593	E6.17	embryo	embryonic day 6	No
E6.17.1594	E6.17.1594	E6.17	embryo	embryonic day 6	No
E6.17.1596	E6.17.1596	E6.17	embryo	embryonic day 6	No
E6.17.1598	E6.17.1598	E6.17	embryo	embryonic day 6	No
E6.17.1599	E6.17.1599	E6.17	embryo	embryonic day 6	No
E6.17.1600	E6.17.1600	E6.17	embryo	embryonic day 6	No
E6.17.1601	E6.17.1601	E6.17	embryo	embryonic day 6	No
E6.17.1602	E6.17.1602	E6.17	embryo	embryonic day 6	No
E6.17.1603	E6.17.1603	E6.17	embryo	embryonic day 6	No
E6.17.1605	E6.17.1605	E6.17	embryo	embryonic day 6	No
E6.17.1606	E6.17.1606	E6.17	embryo	embryonic day 6	No
E6.17.1607	E6.17.1607	E6.17	embryo	embryonic day 6	No
E6.17.1608	E6.17.1608	E6.17	embryo	embryonic day 6	No
E6.17.1609	E6.17.1609	E6.17	embryo	embryonic day 6	No
E6.17.1610	E6.17.1610	E6.17	embryo	embryonic day 6	No
E6.17.1611	E6.17.1611	E6.17	embryo	embryonic day 6	No
E6.17.1612	E6.17.1612	E6.17	embryo	embryonic day 6	No
E6.17.1613	E6.17.1613	E6.17	embryo	embryonic day 6	No
E6.17.1614	E6.17.1614	E6.17	embryo	embryonic day 6	No
E6.17.1616	E6.17.1616	E6.17	embryo	embryonic day 6	No
E6.17.1617	E6.17.1617	E6.17	embryo	embryonic day 6	No
E6.17.1618	E6.17.1618	E6.17	embryo	embryonic day 6	No
E6.17.1619	E6.17.1619	E6.17	embryo	embryonic day 6	No
E6.17.1620	E6.17.1620	E6.17	embryo	embryonic day 6	No
E6.17.1621	E6.17.1621	E6.17	embryo	embryonic day 6	No
E6.18.1622	E6.18.1622	E6.18	embryo	embryonic day 6	No
E6.18.1623	E6.18.1623	E6.18	embryo	embryonic day 6	No
E6.18.1624	E6.18.1624	E6.18	embryo	embryonic day 6	No
E6.18.1625	E6.18.1625	E6.18	embryo	embryonic day 6	No
E6.18.1626	E6.18.1626	E6.18	embryo	embryonic day 6	No
E6.18.1627	E6.18.1627	E6.18	embryo	embryonic day 6	No
E6.18.1628	E6.18.1628	E6.18	embryo	embryonic day 6	No
E6.18.1629	E6.18.1629	E6.18	embryo	embryonic day 6	No
E6.18.1630	E6.18.1630	E6.18	embryo	embryonic day 6	No
E6.18.1632	E6.18.1632	E6.18	embryo	embryonic day 6	No
E6.18.1633	E6.18.1633	E6.18	embryo	embryonic day 6	No
E6.18.1634	E6.18.1634	E6.18	embryo	embryonic day 6	No
E6.18.1635	E6.18.1635	E6.18	embryo	embryonic day 6	No
E6.18.1636	E6.18.1636	E6.18	embryo	embryonic day 6	No
E6.18.1637	E6.18.1637	E6.18	embryo	embryonic day 6	No
E6.18.1638	E6.18.1638	E6.18	embryo	embryonic day 6	No
E6.18.1639	E6.18.1639	E6.18	embryo	embryonic day 6	No
E6.18.1640	E6.18.1640	E6.18	embryo	embryonic day 6	No
E6.18.1641	E6.18.1641	E6.18	embryo	embryonic day 6	No
E6.18.1642	E6.18.1642	E6.18	embryo	embryonic day 6	No
E6.18.1643	E6.18.1643	E6.18	embryo	embryonic day 6	No
E6.18.1644	E6.18.1644	E6.18	embryo	embryonic day 6	No
E6.18.1645	E6.18.1645	E6.18	embryo	embryonic day 6	No
E6.2.104	E6.2.104	E6.2	embryo	embryonic day 6	No
E6.2.105	E6.2.105	E6.2	embryo	embryonic day 6	No
E6.2.107	E6.2.107	E6.2	embryo	embryonic day 6	No
E6.2.108	E6.2.108	E6.2	embryo	embryonic day 6	No
E6.2.109	E6.2.109	E6.2	embryo	embryonic day 6	No
E6.2.114	E6.2.114	E6.2	embryo	embryonic day 6	No
E6.2.115	E6.2.115	E6.2	embryo	embryonic day 6	No
E6.2.116	E6.2.116	E6.2	embryo	embryonic day 6	No
E6.2.117	E6.2.117	E6.2	embryo	embryonic day 6	No
E6.2.118	E6.2.118	E6.2	embryo	embryonic day 6	No
E6.2.119	E6.2.119	E6.2	embryo	embryonic day 6	No
E6.22.1846	E6.22.1846	E6.22	embryo	embryonic day 6	No
E6.22.1847	E6.22.1847	E6.22	embryo	embryonic day 6	No
E6.22.1848	E6.22.1848	E6.22	embryo	embryonic day 6	No
E6.22.1849	E6.22.1849	E6.22	embryo	embryonic day 6	No
E6.22.1850	E6.22.1850	E6.22	embryo	embryonic day 6	No
E6.22.1851	E6.22.1851	E6.22	embryo	embryonic day 6	No
E6.22.1852	E6.22.1852	E6.22	embryo	embryonic day 6	No
E6.22.1853	E6.22.1853	E6.22	embryo	embryonic day 6	No
E6.22.1854	E6.22.1854	E6.22	embryo	embryonic day 6	No
E6.22.1855	E6.22.1855	E6.22	embryo	embryonic day 6	No
E6.22.1856	E6.22.1856	E6.22	embryo	embryonic day 6	No
E6.22.1857	E6.22.1857	E6.22	embryo	embryonic day 6	No
E6.22.1858	E6.22.1858	E6.22	embryo	embryonic day 6	No
E6.22.1859	E6.22.1859	E6.22	embryo	embryonic day 6	No
E6.22.1860	E6.22.1860	E6.22	embryo	embryonic day 6	No
E6.22.1861	E6.22.1861	E6.22	embryo	embryonic day 6	No
E6.22.1862	E6.22.1862	E6.22	embryo	embryonic day 6	No
E6.22.1863	E6.22.1863	E6.22	embryo	embryonic day 6	No
E6.22.1864	E6.22.1864	E6.22	embryo	embryonic day 6	No
E6.22.1865	E6.22.1865	E6.22	embryo	embryonic day 6	No
E6.22.1866	E6.22.1866	E6.22	embryo	embryonic day 6	No
E6.22.1867	E6.22.1867	E6.22	embryo	embryonic day 6	No
E6.3.383	E6.3.383	E6.3	embryo	embryonic day 6	No
E6.3.384	E6.3.384	E6.3	embryo	embryonic day 6	No
E6.3.389	E6.3.389	E6.3	embryo	embryonic day 6	No
E6.3.391	E6.3.391	E6.3	embryo	embryonic day 6	No
E6.3.395	E6.3.395	E6.3	embryo	embryonic day 6	No
E6.3.396	E6.3.396	E6.3	embryo	embryonic day 6	No
E6.4.424	E6.4.424	E6.4	embryo	embryonic day 6	No
E6.4.425	E6.4.425	E6.4	embryo	embryonic day 6	No
E6.4.426	E6.4.426	E6.4	embryo	embryonic day 6	No
E6.4.427	E6.4.427	E6.4	embryo	embryonic day 6	No
E6.4.429	E6.4.429	E6.4	embryo	embryonic day 6	No
E6.4.432	E6.4.432	E6.4	embryo	embryonic day 6	No
E6.6.707	E6.6.707	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.708	E6.6.708	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.709	E6.6.709	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.710	E6.6.710	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.712	E6.6.712	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.713	E6.6.713	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.714	E6.6.714	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.715	E6.6.715	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.716	E6.6.716	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.717	E6.6.717	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.718	E6.6.718	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.719	E6.6.719	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.720	E6.6.720	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.721	E6.6.721	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.722	E6.6.722	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.723	E6.6.723	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.724	E6.6.724	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.725	E6.6.725	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.726	E6.6.726	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.727	E6.6.727	E6.6	embryo	embryonic day 6	Immunosurgery
E6.6.728	E6.6.728	E6.6	embryo	embryonic day 6	Immunosurgery
E6.7.729	E6.7.729	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.737	E6.7.737	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.738	E6.7.738	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.739	E6.7.739	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.741	E6.7.741	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.742	E6.7.742	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.743	E6.7.743	E6.7	embryo	embryonic day 6	Immunosurgery
E6.7.744	E6.7.744	E6.7	embryo	embryonic day 6	Immunosurgery
E6.8.769	E6.8.769	E6.8	embryo	embryonic day 6	No
E6.8.771	E6.8.771	E6.8	embryo	embryonic day 6	No
E6.8.772	E6.8.772	E6.8	embryo	embryonic day 6	No
E6.8.773	E6.8.773	E6.8	embryo	embryonic day 6	No
E6.8.774	E6.8.774	E6.8	embryo	embryonic day 6	No
E6.8.775	E6.8.775	E6.8	embryo	embryonic day 6	No
E6.8.776	E6.8.776	E6.8	embryo	embryonic day 6	No
E6.8.777	E6.8.777	E6.8	embryo	embryonic day 6	No
E6.8.778	E6.8.778	E6.8	embryo	embryonic day 6	No
E6.8.779	E6.8.779	E6.8	embryo	embryonic day 6	No
E6.8.780	E6.8.780	E6.8	embryo	embryonic day 6	No
E6.8.781	E6.8.781	E6.8	embryo	embryonic day 6	No
E6.8.782	E6.8.782	E6.8	embryo	embryonic day 6	No
E6.8.783	E6.8.783	E6.8	embryo	embryonic day 6	No
E6.8.784	E6.8.784	E6.8	embryo	embryonic day 6	No
E6.8.785	E6.8.785	E6.8	embryo	embryonic day 6	No
E6.8.786	E6.8.786	E6.8	embryo	embryonic day 6	No
E6.8.787	E6.8.787	E6.8	embryo	embryonic day 6	No
E6.8.789	E6.8.789	E6.8	embryo	embryonic day 6	No
E6.8.790	E6.8.790	E6.8	embryo	embryonic day 6	No
E6.8.791	E6.8.791	E6.8	embryo	embryonic day 6	No
E6.8.792	E6.8.792	E6.8	embryo	embryonic day 6	No
E6.8.793	E6.8.793	E6.8	embryo	embryonic day 6	No
E6.8.794	E6.8.794	E6.8	embryo	embryonic day 6	No
E6.8.795	E6.8.795	E6.8	embryo	embryonic day 6	No
E6.8.796	E6.8.796	E6.8	embryo	embryonic day 6	No
E6.8.797	E6.8.797	E6.8	embryo	embryonic day 6	No
E6.8.798	E6.8.798	E6.8	embryo	embryonic day 6	No
E6.8.799	E6.8.799	E6.8	embryo	embryonic day 6	No
E6.8.800	E6.8.800	E6.8	embryo	embryonic day 6	No
E6.8.801	E6.8.801	E6.8	embryo	embryonic day 6	No
E6.8.802	E6.8.802	E6.8	embryo	embryonic day 6	No
E6.8.803	E6.8.803	E6.8	embryo	embryonic day 6	No
E6.8.804	E6.8.804	E6.8	embryo	embryonic day 6	No
E6.8.806	E6.8.806	E6.8	embryo	embryonic day 6	No
E6.8.807	E6.8.807	E6.8	embryo	embryonic day 6	No
E6.8.808	E6.8.808	E6.8	embryo	embryonic day 6	No
E6.8.809	E6.8.809	E6.8	embryo	embryonic day 6	No
E6.8.810	E6.8.810	E6.8	embryo	embryonic day 6	No
E6.8.811	E6.8.811	E6.8	embryo	embryonic day 6	No
E6.8.812	E6.8.812	E6.8	embryo	embryonic day 6	No
E6.8.813	E6.8.813	E6.8	embryo	embryonic day 6	No
E6.8.814	E6.8.814	E6.8	embryo	embryonic day 6	No
E6.8.815	E6.8.815	E6.8	embryo	embryonic day 6	No
E6.8.816	E6.8.816	E6.8	embryo	embryonic day 6	No
E6.8.817	E6.8.817	E6.8	embryo	embryonic day 6	No
E6.8.818	E6.8.818	E6.8	embryo	embryonic day 6	No
E6.8.819	E6.8.819	E6.8	embryo	embryonic day 6	No
E6.8.820	E6.8.820	E6.8	embryo	embryonic day 6	No
E6.8.821	E6.8.821	E6.8	embryo	embryonic day 6	No
E6.8.822	E6.8.822	E6.8	embryo	embryonic day 6	No
E6.8.823	E6.8.823	E6.8	embryo	embryonic day 6	No
E6.8.824	E6.8.824	E6.8	embryo	embryonic day 6	No
E6.8.825	E6.8.825	E6.8	embryo	embryonic day 6	No
E6.8.826	E6.8.826	E6.8	embryo	embryonic day 6	No
E6.8.827	E6.8.827	E6.8	embryo	embryonic day 6	No
E6.8.828	E6.8.828	E6.8	embryo	embryonic day 6	No
E6.8.829	E6.8.829	E6.8	embryo	embryonic day 6	No
E6.8.831	E6.8.831	E6.8	embryo	embryonic day 6	No
E6.8.832	E6.8.832	E6.8	embryo	embryonic day 6	No
E6.9.1007	E6.9.1007	E6.9	embryo	embryonic day 6	No
E6.9.1008	E6.9.1008	E6.9	embryo	embryonic day 6	No
E6.9.1010	E6.9.1010	E6.9	embryo	embryonic day 6	No
E6.9.1011	E6.9.1011	E6.9	embryo	embryonic day 6	No
E6.9.1012	E6.9.1012	E6.9	embryo	embryonic day 6	No
E6.9.1013	E6.9.1013	E6.9	embryo	embryonic day 6	No
E6.9.1014	E6.9.1014	E6.9	embryo	embryonic day 6	No
E6.9.1015	E6.9.1015	E6.9	embryo	embryonic day 6	No
E6.9.1016	E6.9.1016	E6.9	embryo	embryonic day 6	No
E6.9.1017	E6.9.1017	E6.9	embryo	embryonic day 6	No
E6.9.1018	E6.9.1018	E6.9	embryo	embryonic day 6	No
E6.9.1020	E6.9.1020	E6.9	embryo	embryonic day 6	No
E6.9.1021	E6.9.1021	E6.9	embryo	embryonic day 6	No
E6.9.1022	E6.9.1022	E6.9	embryo	embryonic day 6	No
E6.9.1023	E6.9.1023	E6.9	embryo	embryonic day 6	No
E6.9.1024	E6.9.1024	E6.9	embryo	embryonic day 6	No
E6.9.1025	E6.9.1025	E6.9	embryo	embryonic day 6	No
E6.9.1026	E6.9.1026	E6.9	embryo	embryonic day 6	No
E7.10.745	E7.10.745	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.746	E7.10.746	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.747	E7.10.747	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.748	E7.10.748	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.749	E7.10.749	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.750	E7.10.750	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.753	E7.10.753	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.756	E7.10.756	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.760	E7.10.760	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.761	E7.10.761	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.762	E7.10.762	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.763	E7.10.763	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.764	E7.10.764	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.766	E7.10.766	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.767	E7.10.767	E7.10	embryo	embryonic day 7	Immunosurgery
E7.10.768	E7.10.768	E7.10	embryo	embryonic day 7	Immunosurgery
E7.11.833	E7.11.833	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.835	E7.11.835	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.836	E7.11.836	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.837	E7.11.837	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.838	E7.11.838	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.839	E7.11.839	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.840	E7.11.840	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.841	E7.11.841	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.842	E7.11.842	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.843	E7.11.843	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.844	E7.11.844	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.845	E7.11.845	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.846	E7.11.846	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.847	E7.11.847	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.848	E7.11.848	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.849	E7.11.849	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.850	E7.11.850	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.851	E7.11.851	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.852	E7.11.852	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.853	E7.11.853	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.854	E7.11.854	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.855	E7.11.855	E7.11	embryo	embryonic day 7	Immunosurgery
E7.11.856	E7.11.856	E7.11	embryo	embryonic day 7	Immunosurgery
E7.12.857	E7.12.857	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.858	E7.12.858	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.859	E7.12.859	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.860	E7.12.860	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.861	E7.12.861	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.862	E7.12.862	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.863	E7.12.863	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.864	E7.12.864	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.865	E7.12.865	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.866	E7.12.866	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.869	E7.12.869	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.870	E7.12.870	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.871	E7.12.871	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.872	E7.12.872	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.874	E7.12.874	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.875	E7.12.875	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.876	E7.12.876	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.877	E7.12.877	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.878	E7.12.878	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.879	E7.12.879	E7.12	embryo	embryonic day 7	Immunosurgery
E7.12.880	E7.12.880	E7.12	embryo	embryonic day 7	Immunosurgery
E7.13.881	E7.13.881	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.882	E7.13.882	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.883	E7.13.883	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.884	E7.13.884	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.885	E7.13.885	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.886	E7.13.886	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.887	E7.13.887	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.888	E7.13.888	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.889	E7.13.889	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.890	E7.13.890	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.891	E7.13.891	E7.13	embryo	embryonic day 7	Immunosurgery
E7.13.892	E7.13.892	E7.13	embryo	embryonic day 7	Immunosurgery
E7.14.893	E7.14.893	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.894	E7.14.894	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.895	E7.14.895	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.896	E7.14.896	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.897	E7.14.897	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.898	E7.14.898	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.899	E7.14.899	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.900	E7.14.900	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.901	E7.14.901	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.902	E7.14.902	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.903	E7.14.903	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.904	E7.14.904	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.905	E7.14.905	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.906	E7.14.906	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.907	E7.14.907	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.908	E7.14.908	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.909	E7.14.909	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.910	E7.14.910	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.911	E7.14.911	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.912	E7.14.912	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.913	E7.14.913	E7.14	embryo	embryonic day 7	Immunosurgery
E7.14.914	E7.14.914	E7.14	embryo	embryonic day 7	Immunosurgery
E7.15.1078	E7.15.1078	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1079	E7.15.1079	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1080	E7.15.1080	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1081	E7.15.1081	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1082	E7.15.1082	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1083	E7.15.1083	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1084	E7.15.1084	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1085	E7.15.1085	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1086	E7.15.1086	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1087	E7.15.1087	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1088	E7.15.1088	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1089	E7.15.1089	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1090	E7.15.1090	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1091	E7.15.1091	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1092	E7.15.1092	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1094	E7.15.1094	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1096	E7.15.1096	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1098	E7.15.1098	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1099	E7.15.1099	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1100	E7.15.1100	E7.15	embryo	embryonic day 7	Immunosurgery
E7.15.1101	E7.15.1101	E7.15	embryo	embryonic day 7	Immunosurgery
E7.16.1102	E7.16.1102	E7.16	embryo	embryonic day 7	No
E7.16.1103	E7.16.1103	E7.16	embryo	embryonic day 7	No
E7.16.1104	E7.16.1104	E7.16	embryo	embryonic day 7	No
E7.16.1105	E7.16.1105	E7.16	embryo	embryonic day 7	No
E7.16.1106	E7.16.1106	E7.16	embryo	embryonic day 7	No
E7.16.1107	E7.16.1107	E7.16	embryo	embryonic day 7	No
E7.16.1108	E7.16.1108	E7.16	embryo	embryonic day 7	No
E7.16.1109	E7.16.1109	E7.16	embryo	embryonic day 7	No
E7.16.1110	E7.16.1110	E7.16	embryo	embryonic day 7	No
E7.16.1111	E7.16.1111	E7.16	embryo	embryonic day 7	No
E7.16.1112	E7.16.1112	E7.16	embryo	embryonic day 7	No
E7.16.1113	E7.16.1113	E7.16	embryo	embryonic day 7	No
E7.16.1114	E7.16.1114	E7.16	embryo	embryonic day 7	No
E7.16.1115	E7.16.1115	E7.16	embryo	embryonic day 7	No
E7.16.1116	E7.16.1116	E7.16	embryo	embryonic day 7	No
E7.16.1118	E7.16.1118	E7.16	embryo	embryonic day 7	No
E7.16.1119	E7.16.1119	E7.16	embryo	embryonic day 7	No
E7.16.1120	E7.16.1120	E7.16	embryo	embryonic day 7	No
E7.16.1121	E7.16.1121	E7.16	embryo	embryonic day 7	No
E7.16.1122	E7.16.1122	E7.16	embryo	embryonic day 7	No
E7.16.1123	E7.16.1123	E7.16	embryo	embryonic day 7	No
E7.16.1124	E7.16.1124	E7.16	embryo	embryonic day 7	No
E7.16.1125	E7.16.1125	E7.16	embryo	embryonic day 7	No
E7.16.1126	E7.16.1126	E7.16	embryo	embryonic day 7	No
E7.16.1127	E7.16.1127	E7.16	embryo	embryonic day 7	No
E7.16.1128	E7.16.1128	E7.16	embryo	embryonic day 7	No
E7.16.1129	E7.16.1129	E7.16	embryo	embryonic day 7	No
E7.16.1130	E7.16.1130	E7.16	embryo	embryonic day 7	No
E7.16.1131	E7.16.1131	E7.16	embryo	embryonic day 7	No
